Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.9015,0.0252
Group 1,0.9021,0.0216
Group 2,0.9014,0.0212
Group 3,0.9017,0.0202
Group 4,0.9012,0.0206
Group 5,0.9018,0.0208
Group 6,0.9023,0.0212
Group 7,0.9015,0.0201
Group 8,0.9017,0.0207
Group 9,0.9004,0.0201
Group 10,0.9012,0.0205
Group 11,0.9011,0.0206
Group 12,0.9008,0.0206
Group 13,0.9026,0.0557
