Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.7422,0.0369
Group 1,0.7427,0.0304
Group 2,0.7409,0.0291
Group 3,0.7438,0.0293
Group 4,0.7421,0.0309
Group 5,0.7416,0.0313
Group 6,0.7414,0.0301
Group 7,0.743,0.0301
Group 8,0.7411,0.03
Group 9,0.7419,0.0301
Group 10,0.7426,0.0302
Group 11,0.7433,0.0302
Group 12,0.7427,0.03
Group 13,0.7419,0.0822
