Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.7479,0.0366
Group 1,0.7483,0.0308
Group 2,0.7489,0.0314
Group 3,0.7462,0.0303
Group 4,0.7492,0.0295
Group 5,0.7492,0.0297
Group 6,0.7477,0.0318
Group 7,0.7476,0.0297
Group 8,0.7479,0.0298
Group 9,0.7482,0.0311
Group 10,0.7461,0.0295
Group 11,0.7479,0.0302
Group 12,0.7462,0.0309
Group 13,0.7493,0.0797
