Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.7424,0.0369
Group 1,0.7418,0.0299
Group 2,0.7435,0.0295
Group 3,0.7427,0.0312
Group 4,0.743,0.0295
Group 5,0.7429,0.0307
Group 6,0.7422,0.0306
Group 7,0.7425,0.0303
Group 8,0.7414,0.0294
Group 9,0.7417,0.031
Group 10,0.7417,0.0297
Group 11,0.741,0.0295
Group 12,0.7418,0.0298
Group 13,0.7451,0.0825
