Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.7418,0.036
Group 1,0.7405,0.0296
Group 2,0.7413,0.0296
Group 3,0.7403,0.0299
Group 4,0.7427,0.0305
Group 5,0.7407,0.0303
Group 6,0.7429,0.0302
Group 7,0.7436,0.0308
Group 8,0.741,0.0288
Group 9,0.74,0.0293
Group 10,0.7428,0.03
Group 11,0.7434,0.0299
Group 12,0.742,0.0294
Group 13,0.7426,0.0781
