Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.9506,0.0184
Group 1,0.9505,0.0151
Group 2,0.9507,0.0154
Group 3,0.9503,0.0148
Group 4,0.9508,0.015
Group 5,0.9505,0.0149
Group 6,0.9507,0.015
Group 7,0.9508,0.0143
Group 8,0.9511,0.0149
Group 9,0.95,0.0152
Group 10,0.9502,0.0152
Group 11,0.9511,0.0145
Group 12,0.9503,0.0152
Group 13,0.9502,0.0413
