Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.7982,0.0341
Group 1,0.7976,0.0287
Group 2,0.7996,0.0279
Group 3,0.7968,0.0276
Group 4,0.7986,0.028
Group 5,0.7984,0.028
Group 6,0.798,0.0264
Group 7,0.7989,0.0288
Group 8,0.7998,0.0279
Group 9,0.7988,0.0273
Group 10,0.7979,0.0278
Group 11,0.7978,0.0286
Group 12,0.7987,0.0275
Group 13,0.7957,0.0761
