Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.8493,0.0302
Group 1,0.8492,0.0233
Group 2,0.8501,0.0241
Group 3,0.8499,0.0241
Group 4,0.8496,0.025
Group 5,0.849,0.0239
Group 6,0.8486,0.025
Group 7,0.8497,0.0256
Group 8,0.848,0.0247
Group 9,0.8501,0.0249
Group 10,0.8485,0.0259
Group 11,0.8489,0.0246
Group 12,0.8494,0.0254
Group 13,0.8498,0.0674
