dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
kqa_golden,0.000 ± 0.0000,0.000 ± 0.0000,0.000 ± 0.0000,0.037 ± 0.0103,0.164 ± 0.0253,0.375 ± 0.0411,0.524 ± 0.0428,0.749 ± 0.0387
kqa_golden_conditional,0.000 ± 0.0000,0.000 ± 0.0000,0.000 ± 0.0000,0.019 ± 0.0080,0.135 ± 0.0241,0.331 ± 0.0393,0.521 ± 0.0425,0.741 ± 0.0396
