dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
healthsearch_qa,0.000 ± 0.0000,0.000 ± 0.0000,0.000 ± 0.0000,0.002 ± 0.0008,0.106 ± 0.0055,0.266 ± 0.0088,0.475 ± 0.0107,0.713 ± 0.0098
healthsearch_qa_conditional,0.000 ± 0.0000,0.000 ± 0.0000,0.000 ± 0.0000,0.002 ± 0.0008,0.106 ± 0.0055,0.267 ± 0.0088,0.475 ± 0.0107,0.713 ± 0.0098
