dataset,0.70,0.75,0.80,0.85,0.90,0.95
medlfqav2,0.742 ± 0.0061,0.751 ± 0.0119,0.800 ± 0.0110,0.850 ± 0.0105,0.900 ± 0.0087,0.950 ± 0.0065
medlfqav2_conditional,0.742 ± 0.0063,0.742 ± 0.0061,0.753 ± 0.0060,0.813 ± 0.0055,0.894 ± 0.0048,0.944 ± 0.0034
