dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
medlfqav2_conditional,0.000 ± 0.000,0.000 ± 0.000,0.005 ± 0.001,0.020 ± 0.002,0.111 ± 0.005,0.267 ± 0.007,0.487 ± 0.009,0.719 ± 0.008
medlfqav2_conditional_medication_qa,0.000 ± 0.000,0.000 ± 0.000,0.025 ± 0.006,0.100 ± 0.012,0.209 ± 0.018,0.348 ± 0.023,0.525 ± 0.025,0.754 ± 0.022
medlfqav2_conditional_healthsearch_qa,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.002 ± 0.001,0.106 ± 0.005,0.267 ± 0.009,0.475 ± 0.011,0.713 ± 0.010
medlfqav2_conditional_kqa_golden,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.039 ± 0.010,0.170 ± 0.025,0.375 ± 0.041,0.527 ± 0.043,0.750 ± 0.039
medlfqav2_conditional_kqa_silver_wogold,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.014 ± 0.003,0.162 ± 0.013,0.482 ± 0.020,0.706 ± 0.018
medlfqav2_conditional_live_qa,0.000 ± 0.000,0.000 ± 0.000,0.082 ± 0.024,0.216 ± 0.042,0.348 ± 0.052,0.472 ± 0.060,0.574 ± 0.056,0.760 ± 0.049
