dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
wiki_difficulty_rag_conditional,0.766 ± 0.013,0.766 ± 0.014,0.766 ± 0.013,0.767 ± 0.014,0.800 ± 0.012,0.852 ± 0.011,0.902 ± 0.010,0.953 ± 0.007
wiki_difficulty_rag_conditional_entropy_medium,0.756 ± 0.024,0.755 ± 0.023,0.756 ± 0.024,0.755 ± 0.024,0.801 ± 0.022,0.852 ± 0.019,0.901 ± 0.017,0.952 ± 0.012
wiki_difficulty_rag_conditional_entropy_hard,0.768 ± 0.023,0.769 ± 0.023,0.770 ± 0.022,0.772 ± 0.023,0.799 ± 0.022,0.852 ± 0.019,0.902 ± 0.016,0.953 ± 0.012
wiki_difficulty_rag_conditional_entropy_easy,0.773 ± 0.023,0.772 ± 0.023,0.773 ± 0.023,0.774 ± 0.023,0.800 ± 0.023,0.851 ± 0.020,0.901 ± 0.016,0.953 ± 0.012
