medlfqav2_group_condtion,0.742 ± 0.006,0.742 ± 0.006,0.742 ± 0.006,0.750 ± 0.012,0.799 ± 0.012,0.850 ± 0.010,0.900 ± 0.009,0.950 ± 0.006
medlfqav2_weighted_300_cal,0.742 ± 0.006,0.742 ± 0.006,0.743 ± 0.007,0.756 ± 0.019,0.800 ± 0.024,0.848 ± 0.022,0.898 ± 0.018,0.948 ± 0.013
medlfqav2_weighted_500_cal,0.742 ± 0.006,0.742 ± 0.006,0.742 ± 0.007,0.755 ± 0.018,0.799 ± 0.024,0.848 ± 0.023,0.899 ± 0.019,0.948 ± 0.013
medlfqav2_weighted_1000_cal,0.742 ± 0.006,0.742 ± 0.006,0.742 ± 0.006,0.751 ± 0.013,0.800 ± 0.015,0.849 ± 0.013,0.900 ± 0.011,0.950 ± 0.008
medlfqav2_distance_100,0.742 ± 0.006,0.743 ± 0.007,0.749 ± 0.008,0.766 ± 0.009,0.801 ± 0.011,0.850 ± 0.010,0.903 ± 0.008,0.953 ± 0.006
