dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
wiki_llm,0.602 ± 0.030,0.650 ± 0.031,0.701 ± 0.029,0.751 ± 0.027,0.802 ± 0.025,0.852 ± 0.022,0.900 ± 0.019,0.950 ± 0.014
wiki_llm_conditional,0.601 ± 0.016,0.649 ± 0.015,0.701 ± 0.015,0.751 ± 0.014,0.800 ± 0.013,0.851 ± 0.011,0.900 ± 0.010,0.950 ± 0.007
wiki_llm_conditional_hotpotqa,0.600 ± 0.022,0.649 ± 0.020,0.701 ± 0.021,0.750 ± 0.019,0.800 ± 0.017,0.850 ± 0.015,0.900 ± 0.013,0.950 ± 0.009
wiki_llm_conditional_popqa,0.601 ± 0.022,0.649 ± 0.021,0.701 ± 0.021,0.751 ± 0.019,0.799 ± 0.018,0.852 ± 0.016,0.900 ± 0.014,0.950 ± 0.010
