dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
wiki_difficulty_rag,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.066 ± 0.011,0.191 ± 0.018,0.353 ± 0.023,0.574 ± 0.025
wiki_difficulty_rag_conditional,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.056 ± 0.010,0.187 ± 0.018,0.360 ± 0.024,0.591 ± 0.025
