medlfqav2_conditional,0.742 ± 0.006,0.744 ± 0.007,0.750 ± 0.008,0.767 ± 0.010,0.804 ± 0.011,0.852 ± 0.010,0.899 ± 0.009,0.951 ± 0.006
medlfqav2_conditional,0.742 ± 0.006,0.743 ± 0.007,0.747 ± 0.007,0.763 ± 0.009,0.801 ± 0.011,0.851 ± 0.009,0.900 ± 0.008,0.950 ± 0.006
