dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
medlfqav2_900_conditional,0.725 ± 0.015,0.729 ± 0.018,0.740 ± 0.021,0.766 ± 0.024,0.805 ± 0.026,0.853 ± 0.023,0.902 ± 0.020,0.951 ± 0.015
medlfqav2_900_conditional_conditional_medication_qa,0.669 ± 0.033,0.676 ± 0.045,0.707 ± 0.059,0.750 ± 0.061,0.802 ± 0.058,0.852 ± 0.051,0.898 ± 0.043,0.949 ± 0.032
medlfqav2_900_conditional_conditional_kqa_golden,0.715 ± 0.033,0.714 ± 0.035,0.721 ± 0.043,0.751 ± 0.056,0.806 ± 0.055,0.852 ± 0.048,0.903 ± 0.041,0.950 ± 0.032
medlfqav2_900_conditional_conditional_healthsearch_qa,0.751 ± 0.030,0.749 ± 0.030,0.750 ± 0.034,0.764 ± 0.046,0.800 ± 0.054,0.851 ± 0.050,0.902 ± 0.042,0.950 ± 0.030
medlfqav2_900_conditional_conditional_kqa_silver_wogold,0.800 ± 0.028,0.801 ± 0.028,0.801 ± 0.028,0.801 ± 0.030,0.814 ± 0.042,0.852 ± 0.049,0.903 ± 0.040,0.949 ± 0.032
medlfqav2_900_conditional_conditional_live_qa,0.655 ± 0.057,0.679 ± 0.076,0.708 ± 0.084,0.764 ± 0.082,0.806 ± 0.077,0.863 ± 0.067,0.905 ± 0.053,0.962 ± 0.037
