dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
wiki_topic_rag_conditional,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.033 ± 0.007,0.100 ± 0.013,0.197 ± 0.018,0.347 ± 0.023,0.564 ± 0.024
wiki_topic_rag_conditional_hotpotqa,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.066 ± 0.014,0.202 ± 0.024,0.311 ± 0.028,0.471 ± 0.031,0.685 ± 0.030
wiki_topic_rag_conditional_popqa,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.085 ± 0.019,0.225 ± 0.029,0.444 ± 0.036
