dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
wiki_llm,0.419 ± 0.020,0.500 ± 0.020,0.563 ± 0.020,0.643 ± 0.019,0.727 ± 0.016,0.815 ± 0.013,0.888 ± 0.010,0.953 ± 0.007
wiki_llm_conditional,0.418 ± 0.020,0.499 ± 0.020,0.582 ± 0.019,0.654 ± 0.018,0.752 ± 0.015,0.817 ± 0.013,0.886 ± 0.010,0.951 ± 0.007
