dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
wiki_topic_llm,0.419 ± 0.020,0.500 ± 0.020,0.563 ± 0.020,0.643 ± 0.019,0.727 ± 0.016,0.815 ± 0.013,0.888 ± 0.010,0.953 ± 0.007
wiki_topic_llm_conditional,0.418 ± 0.020,0.499 ± 0.020,0.582 ± 0.019,0.654 ± 0.018,0.752 ± 0.015,0.817 ± 0.013,0.886 ± 0.010,0.951 ± 0.007
wiki_topic_llm_conditional_hotpotqa,0.305 ± 0.027,0.397 ± 0.028,0.487 ± 0.028,0.593 ± 0.026,0.706 ± 0.023,0.772 ± 0.021,0.860 ± 0.016,0.938 ± 0.011
wiki_topic_llm_conditional_popqa,0.529 ± 0.027,0.601 ± 0.025,0.676 ± 0.023,0.715 ± 0.023,0.798 ± 0.019,0.862 ± 0.015,0.911 ± 0.011,0.964 ± 0.007
