dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
entropy_medlfqav2_conditional,0.742 ± 0.006,0.742 ± 0.006,0.742 ± 0.006,0.752 ± 0.006,0.800 ± 0.006,0.850 ± 0.005,0.900 ± 0.004,0.950 ± 0.003
entropy_medlfqav2_conditional_entropy_hard,0.741 ± 0.011,0.741 ± 0.011,0.740 ± 0.011,0.750 ± 0.011,0.801 ± 0.010,0.850 ± 0.009,0.901 ± 0.007,0.950 ± 0.005
entropy_medlfqav2_conditional_entropy_medium,0.755 ± 0.010,0.755 ± 0.011,0.755 ± 0.011,0.756 ± 0.011,0.800 ± 0.010,0.850 ± 0.009,0.901 ± 0.007,0.951 ± 0.006
entropy_medlfqav2_conditional_entropy_easy,0.731 ± 0.011,0.731 ± 0.011,0.731 ± 0.011,0.750 ± 0.011,0.800 ± 0.010,0.850 ± 0.009,0.900 ± 0.007,0.950 ± 0.006
