dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
wiki_topic_rag,0.766 ± 0.013,0.766 ± 0.013,0.767 ± 0.013,0.766 ± 0.015,0.801 ± 0.024,0.849 ± 0.023,0.900 ± 0.018,0.950 ± 0.013
wiki_topic_rag_conditional,0.766 ± 0.014,0.766 ± 0.014,0.766 ± 0.013,0.784 ± 0.013,0.809 ± 0.013,0.851 ± 0.011,0.900 ± 0.009,0.951 ± 0.007
wiki_topic_rag_conditional_hotpotqa,0.714 ± 0.021,0.714 ± 0.021,0.714 ± 0.020,0.749 ± 0.019,0.799 ± 0.018,0.851 ± 0.016,0.900 ± 0.013,0.951 ± 0.009
wiki_topic_rag_conditional_popqa,0.817 ± 0.018,0.818 ± 0.017,0.818 ± 0.017,0.819 ± 0.018,0.818 ± 0.017,0.851 ± 0.016,0.901 ± 0.013,0.951 ± 0.010
