medlfqav2_500,0.711 ± 0.020,0.709 ± 0.020,0.714 ± 0.027,0.751 ± 0.038,0.799 ± 0.035,0.852 ± 0.032,0.901 ± 0.027,0.954 ± 0.017
medlfqav2_500,0.711 ± 0.020,0.712 ± 0.019,0.715 ± 0.026,0.745 ± 0.037,0.796 ± 0.036,0.848 ± 0.031,0.898 ± 0.028,0.949 ± 0.019
medlfqav2_500,0.710 ± 0.019,0.710 ± 0.021,0.715 ± 0.028,0.754 ± 0.038,0.799 ± 0.036,0.851 ± 0.032,0.899 ± 0.027,0.952 ± 0.019
