Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.9618,0.0007
Group 1,0.9627,0.0663
Group 2,0.9609,0.0644
Group 3,0.9621,0.0663
Group 4,0.9611,0.0652
Group 5,0.9621,0.0664
