dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
live_qa,0.000 ± 0.0000,0.000 ± 0.0000,0.079 ± 0.0240,0.209 ± 0.0427,0.347 ± 0.0524,0.465 ± 0.0608,0.564 ± 0.0574,0.758 ± 0.0491
live_qa_conditional,0.000 ± 0.0000,0.000 ± 0.0000,0.034 ± 0.0179,0.113 ± 0.0331,0.283 ± 0.0510,0.417 ± 0.0569,0.539 ± 0.0579,0.728 ± 0.0504
