dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
medlfqav2,0.000 ± 0.0000,0.000 ± 0.0000,0.000 ± 0.0000,0.007 ± 0.0011,0.112 ± 0.0045,0.281 ± 0.0072,0.483 ± 0.0086,0.725 ± 0.0078
medlfqav2_conditional,0.000 ± 0.0000,0.000 ± 0.0000,0.003 ± 0.0007,0.014 ± 0.0019,0.106 ± 0.0047,0.265 ± 0.0072,0.486 ± 0.0086,0.718 ± 0.0078
