dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
kqa_silver_wogold,0.000 ± 0.0000,0.000 ± 0.0000,0.000 ± 0.0000,0.000 ± 0.0000,0.013 ± 0.0032,0.161 ± 0.0128,0.482 ± 0.0199,0.705 ± 0.0182
kqa_silver_wogold_conditional,0.000 ± 0.0000,0.000 ± 0.0000,0.000 ± 0.0000,0.001 ± 0.0009,0.016 ± 0.0043,0.165 ± 0.0132,0.482 ± 0.0199,0.706 ± 0.0182
