dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
medlfqav2,0.000 ± 0.0000,0.000 ± 0.0000,0.000 ± 0.0000,0.007 ± 0.0011,0.112 ± 0.0045,0.281 ± 0.0072,0.483 ± 0.0086,0.725 ± 0.0078
medlfqav2_conditional,0.000 ± 0.0000,0.000 ± 0.0000,0.004 ± 0.0010,0.019 ± 0.0022,0.109 ± 0.0048,0.265 ± 0.0072,0.486 ± 0.0086,0.718 ± 0.0078
