dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
live_qa,0.000 ± 0.0000,0.000 ± 0.0000,0.079 ± 0.0240,0.209 ± 0.0427,0.347 ± 0.0524,0.465 ± 0.0608,0.564 ± 0.0574,0.758 ± 0.0491
live_qa_conditional,0.000 ± 0.0000,0.000 ± 0.0000,0.069 ± 0.0231,0.192 ± 0.0433,0.323 ± 0.0532,0.442 ± 0.0588,0.551 ± 0.0578,0.737 ± 0.0506
