dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
kqa_golden,0.000 ± 0.0000,0.000 ± 0.0000,0.000 ± 0.0000,0.037 ± 0.0103,0.164 ± 0.0253,0.375 ± 0.0411,0.524 ± 0.0428,0.749 ± 0.0387
kqa_golden_conditional,0.000 ± 0.0000,0.000 ± 0.0000,0.002 ± 0.0032,0.036 ± 0.0101,0.152 ± 0.0248,0.351 ± 0.0399,0.523 ± 0.0426,0.745 ± 0.0397
