Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.7422,0.0371
Group 1,0.7417,0.0307
Group 2,0.742,0.0304
Group 3,0.743,0.03
Group 4,0.7425,0.0309
Group 5,0.7422,0.0317
Group 6,0.7415,0.0302
Group 7,0.7438,0.0313
Group 8,0.7416,0.0301
Group 9,0.7418,0.0305
Group 10,0.7397,0.0306
Group 11,0.7418,0.0306
Group 12,0.7411,0.0303
Group 13,0.7459,0.0815
