Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.7426,0.0369
Group 1,0.7419,0.0312
Group 2,0.7424,0.0304
Group 3,0.7436,0.0303
Group 4,0.7433,0.0285
Group 5,0.7427,0.0309
Group 6,0.7414,0.031
Group 7,0.7425,0.0303
Group 8,0.7413,0.0298
Group 9,0.7407,0.0312
Group 10,0.7412,0.0304
Group 11,0.7419,0.0302
Group 12,0.7429,0.0298
Group 13,0.7479,0.0815
