Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.8007,0.0349
Group 1,0.7999,0.0294
Group 2,0.8017,0.0298
Group 3,0.7994,0.0301
Group 4,0.8,0.0298
Group 5,0.8009,0.0294
Group 6,0.8016,0.0288
Group 7,0.8,0.0286
Group 8,0.8008,0.0294
Group 9,0.8001,0.029
Group 10,0.8007,0.0287
Group 11,0.7989,0.0313
Group 12,0.8016,0.0291
Group 13,0.8029,0.0734
