Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.7511,0.0381
Group 1,0.7514,0.0309
Group 2,0.7501,0.0315
Group 3,0.7502,0.0306
Group 4,0.7509,0.0324
Group 5,0.7517,0.0316
Group 6,0.7488,0.0305
Group 7,0.7499,0.0316
Group 8,0.752,0.0307
Group 9,0.7518,0.0303
Group 10,0.7517,0.0312
Group 11,0.7514,0.0324
Group 12,0.7517,0.0321
Group 13,0.753,0.0839
