Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.8499,0.0313
Group 1,0.8498,0.0259
Group 2,0.8502,0.0267
Group 3,0.8489,0.0259
Group 4,0.8507,0.0265
Group 5,0.8508,0.0253
Group 6,0.8513,0.0256
Group 7,0.8505,0.0265
Group 8,0.8503,0.0267
Group 9,0.849,0.0261
Group 10,0.8484,0.028
Group 11,0.8503,0.026
Group 12,0.8488,0.0256
Group 13,0.8498,0.0666
