Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.7422,0.0369
Group 1,0.7415,0.0305
Group 2,0.7428,0.0304
Group 3,0.744,0.0312
Group 4,0.7408,0.0311
Group 5,0.7416,0.0302
Group 6,0.7402,0.0298
Group 7,0.7425,0.0292
Group 8,0.7408,0.0308
Group 9,0.7427,0.0298
Group 10,0.7431,0.0297
Group 11,0.7423,0.0312
Group 12,0.7431,0.0305
Group 13,0.7426,0.0812
