Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.9,0.0262
Group 1,0.8993,0.0225
Group 2,0.9,0.0218
Group 3,0.9001,0.0222
Group 4,0.9005,0.0224
Group 5,0.9006,0.0213
Group 6,0.8997,0.0222
Group 7,0.9011,0.0222
Group 8,0.8992,0.0223
Group 9,0.8999,0.0223
Group 10,0.9001,0.0218
Group 11,0.8997,0.022
Group 12,0.8996,0.0222
Group 13,0.9007,0.055
