Group,Mean Fraction Correct,Std Fraction Correct
Overall,0.95,0.0192
Group 1,0.9492,0.0157
Group 2,0.9508,0.0158
Group 3,0.9507,0.0156
Group 4,0.9498,0.0156
Group 5,0.9503,0.0159
Group 6,0.9494,0.0164
Group 7,0.9501,0.0169
Group 8,0.9503,0.0158
Group 9,0.9502,0.0166
Group 10,0.9494,0.0159
Group 11,0.95,0.0161
Group 12,0.9507,0.0162
Group 13,0.9492,0.0413
